vidro_teste_comp,y_teste,vidro_similar_comp,y_similar,similaridade_breiman
"K2O: 20.00, B2O3: 80.00",4.0,"K2O: 21.00, B2O3: 79.00",1.49,0.740
"K2O: 20.00, B2O3: 80.00",4.0,"K2O: 19.97, B2O3: 80.03",1.49,0.708
"K2O: 20.00, B2O3: 80.00",4.0,"K2O: 17.00, B2O3: 83.00",1.49,0.434
