vidro_teste_comp,y_teste,vidro_similar_comp,y_similar,similaridade_breiman
"SiO2: 65.50, Li2O: 16.40, Al2O3: 2.80, CaO: 6.20, TiO2: 1.50, P2O5: 5.30, ZrO2: 2.30",4.0,"SiO2: 67.12, Li2O: 21.68, Na2O: 1.90, K2O: 1.25, Al2O3: 2.89, Sb2O3: 0.10, P2O5: 1.24, ZrO2: 3.82",1.54,0.100
"SiO2: 65.50, Li2O: 16.40, Al2O3: 2.80, CaO: 6.20, TiO2: 1.50, P2O5: 5.30, ZrO2: 2.30",4.0,"SiO2: 65.58, Li2O: 27.41, K2O: 1.83, Al2O3: 1.69, P2O5: 1.67, La2O3: 1.82",1.5422,0.074
"SiO2: 65.50, Li2O: 16.40, Al2O3: 2.80, CaO: 6.20, TiO2: 1.50, P2O5: 5.30, ZrO2: 2.30",4.0,"SiO2: 65.50, Li2O: 16.40, Al2O3: 2.80, CaO: 6.20, TiO2: 1.50, ZrO2: 2.30, Nb2O5: 5.30",2.2,0.064
