vidro_teste_comp,y_teste,vidro_similar_comp,y_similar,similaridade_breiman
"Li2O: 25.00, B2O3: 10.00, Bi2O3: 65.00",3.81,"Li2O: 25.00, B2O3: 5.00, Bi2O3: 70.00",3.95,0.642
"Li2O: 25.00, B2O3: 10.00, Bi2O3: 65.00",3.81,"Li2O: 25.00, B2O3: 15.00, Bi2O3: 60.00",3.76,0.540
"Li2O: 25.00, B2O3: 10.00, Bi2O3: 65.00",3.81,"Li2O: 25.00, Bi2O3: 75.00",4.0,0.342
