vidro_teste_comp,y_teste,vidro_similar_comp,y_similar,similaridade_breiman
"B2O3: 20.00, GeO2: 30.00, PbO: 50.00",4.0,"B2O3: 26.70, GeO2: 40.00, PbO: 33.30",4.0,0.598
"B2O3: 20.00, GeO2: 30.00, PbO: 50.00",4.0,"B2O3: 29.20, GeO2: 12.50, PbO: 58.30",4.0,0.518
"B2O3: 20.00, GeO2: 30.00, PbO: 50.00",4.0,"B2O3: 43.20, GeO2: 18.50, PbO: 38.30",4.0,0.506
